track_artist,released_year,danceability,energy,valence,tempo,number_of_songs
Eli Way,2019,38.9,51.8,44.0,90.0,1
Eliades Ochoa,1999,57.1,48.9,64.0,100.6,1
Eliades Ochoa,2018,51.4,63.1,92.0,94.8,1
Elias,2020,86.7,70.0,32.2,100.0,1
Elias Ahmad,2019,80.1,81.4,65.0,120.0,1
Elias Diaz,2019,64.3,77.5,50.3,193.8,1
Elijah Midjord,2019,73.0,38.9,27.0,120.0,1
Elin Bergman,2016,70.3,55.9,37.3,110.0,1
Elisa,2018,43.5,57.8,14.7,130.5,1
Elisa,2019,49.9,71.6,53.8,126.8,2
Elissa,2009,89.0,96.4,97.0,126.0,1
Elizabeth Grace,2018,72.2,41.2,39.3,107.1,1
Elko,2019,57.9,84.8,48.9,156.0,1
Ella Collier,2019,77.3,52.7,41.3,98.0,1
Ella Fitzgerald,1905,68.8,70.0,87.6,119.1,1
Ella Fitzgerald,1996,76.8,8.0,60.7,113.3,1
Ella Fitzgerald,2015,57.0,51.0,84.1,76.9,1
Ella Henderson,2014,79.3,82.5,67.4,112.0,1
Ella Mai,2018,56.6,45.2,17.3,92.4,2
Ella Renn,2019,76.2,53.0,32.3,130.0,1
Ella Vos,2018,47.1,36.1,6.7,87.8,1
Ella Vos,2019,71.5,36.3,34.7,87.0,1
Ella Vos,2020,69.4,48.1,11.2,119.9,1
Elle King,2015,61.2,92.1,45.3,140.0,1
Ellem,2016,75.5,93.7,59.0,120.0,1
Elli Ingram,2013,54.1,50.8,24.8,143.7,1
Elli Ingram,2017,79.8,60.2,49.6,131.0,2
Ellie Goulding,1905,68.3,78.9,80.9,120.0,1
Ellie Goulding,2012,70.2,78.1,38.2,103.0,1
Ellie Goulding,2013,66.1,72.1,37.1,130.0,1
Ellie Goulding,2014,56.4,81.6,28.4,107.5,2
Ellie Goulding,2015,56.3,69.1,58.7,157.6,3
Ellie Goulding,2018,53.2,67.8,40.8,119.6,2
Ellie Goulding,2019,60.9,81.0,46.6,113.9,6
Elliot Moss,2015,71.6,27.5,35.2,63.5,1
Elliphant,2014,57.9,88.6,32.0,160.0,1
Ellipso,2019,74.7,85.3,45.2,128.0,1
Ellise,2019,62.1,87.0,47.0,142.0,1
Elmore James,2014,62.0,74.9,49.7,106.5,1
Elodie,2019,83.4,66.8,75.5,96.0,1
Elohim,2019,60.8,73.6,48.9,97.0,1
Eloy,2011,77.1,76.5,84.7,164.0,1
Elsa y Elmar,2019,75.1,48.5,66.4,152.9,2
Elton John,1970,43.1,65.1,54.4,122.2,1
Elton John,1971,41.4,42.8,28.2,145.1,1
Elton John,1972,54.0,65.4,64.6,153.8,2
Elton John,1973,60.6,67.2,80.0,137.7,5
Elton John,1974,58.6,86.0,94.3,132.9,1
Elton John,1980,60.8,39.1,75.1,143.7,1
Elton John,1990,49.0,98.4,96.1,152.5,1
Elton John,2002,72.9,84.6,74.7,131.5,1
Elton John,2007,63.6,63.0,55.2,134.3,2
Elvin Bishop,1975,63.3,62.1,59.3,113.3,1
Elvis Costello,1905,33.3,28.0,27.6,130.9,1
Elvis Crespo,1905,77.7,89.2,82.1,115.0,1
Elvis Crespo,1998,69.2,88.5,92.3,126.2,1
Elvis Crespo,2008,80.9,88.3,91.8,124.1,1
Elvis Crespo,2018,74.9,92.3,93.4,120.0,1
Elvis Crespo,2019,81.7,88.4,81.4,121.5,2
Elvis Presley,1958,64.7,58.2,91.5,167.4,1
Elyanna,2019,38.3,71.3,20.3,170.2,1
Emassin,2014,55.7,82.5,57.9,126.4,1
Emerson Leif,2019,76.6,44.6,74.2,97.0,1
Emicida,2019,65.5,71.2,61.5,127.0,2
Emile Haynie,2015,17.8,47.8,8.4,167.3,1
Emilia,2019,76.9,73.0,81.2,181.0,2
Emilie Autumn,2010,52.1,33.1,40.5,165.8,1
Emilio,2019,77.9,66.0,82.8,159.9,1
Emilio Rojas,2014,40.5,72.9,49.1,154.0,1
Emilio Rojas,2019,81.6,54.1,65.7,100.0,1
Emily Burns,2019,71.6,31.6,24.3,73.0,1
Emily Lind,2019,61.0,43.8,14.1,147.9,1
Emily Osment,2010,56.2,74.7,70.3,137.0,1
Emily Simbi,2016,68.9,54.9,63.8,97.1,1
Emily Vaughn,2017,80.5,42.9,55.3,107.0,1
Emily Vaughn,2018,60.4,72.4,41.9,180.1,1
Emily Vaughn,2019,45.7,61.2,49.5,160.1,1
Eminem,1999,65.2,85.7,59.6,88.2,2
Eminem,2000,88.2,67.2,68.2,93.4,3
Eminem,2002,71.5,78.5,34.6,163.6,3
Eminem,2003,57.1,86.1,37.2,179.8,1
Eminem,2004,60.8,68.9,26.6,81.4,2
Eminem,2005,74.2,74.8,29.2,123.7,5
Eminem,2006,58.5,81.7,32.5,124.1,1
Eminem,2009,72.9,81.2,54.6,123.3,5
Eminem,2010,74.9,92.5,64.1,87.0,1
Eminem,2013,76.1,85.6,59.9,129.2,5
Eminem,2014,53.1,75.9,30.4,175.9,1
Eminem,2015,64.0,84.1,4.7,121.1,1
Eminem,2018,87.2,70.8,47.9,130.7,5
Eminem,2020,75.7,68.8,37.1,120.0,4
Eminence,2017,50.7,51.6,6.0,82.5,1
Emiway Bantai,2018,73.0,57.0,69.8,150.4,2
Emma,2019,70.9,79.4,75.4,112.5,2
Emma Clair,2019,91.6,86.2,93.0,126.5,2
Emma Sameth,2018,81.8,44.5,42.3,95.9,1
Emmanuel Franco,2020,85.7,75.7,37.4,107.0,1
Emmit Fenn,2015,82.8,22.1,20.0,133.0,1
Emmit Fenn,2017,69.6,34.2,31.0,130.4,2
Emmit Fenn,2019,86.0,36.3,24.4,120.0,1
Empire Cast,2015,40.2,93.9,52.1,200.4,1
Emre Cizmeci,2019,65.4,86.2,29.5,128.0,1
Emrod,2017,69.0,73.4,11.5,114.5,2
En Vogue,1990,72.8,46.4,38.3,96.9,1
En Vogue,1992,67.6,65.6,65.8,134.0,3
En Vogue,1997,61.8,68.8,56.1,78.3,1
En Vogue,2001,68.0,63.6,78.7,151.3,1
Encure,2019,58.1,92.4,65.4,110.0,1
End of the World,2019,71.3,72.9,73.4,122.0,1
Enghel,2013,74.7,83.1,96.0,100.0,1
England Dan,1905,62.0,55.6,59.2,119.2,1
Enio Silveti,2019,81.3,34.8,84.3,144.1,1
Enrico Nigiotti,2019,62.2,56.0,33.4,126.0,1
Enrico Sangiuliano,2018,68.8,67.8,15.7,126.0,1
Enrique Iglesias,1905,64.0,69.1,45.2,112.0,1
Enrique Iglesias,2010,82.1,81.9,89.3,126.0,1
Enrique Iglesias,2014,70.5,79.4,80.9,91.0,3
Enrique Iglesias,2016,72.4,90.4,84.6,91.0,1
Enrique Iglesias,2017,68.4,82.3,64.7,91.0,1
Enrique Iglesias,2018,71.9,84.2,53.4,90.0,1
Entre Linhas,2019,57.3,37.2,43.6,144.7,1
Enur,2008,76.9,75.0,69.1,122.6,3
Enzo Dong,2019,73.0,76.4,58.6,103.4,2
Enzo Ingrosso,2019,56.9,88.9,58.4,128.0,1
Epektase,2019,73.4,14.4,17.5,75.0,1
Ephwurd,2018,82.4,94.3,42.1,126.1,1
Epidemic,2014,62.8,79.7,70.2,93.8,1
Epifania,2018,64.9,47.3,77.9,172.0,1
Epifania,2019,72.5,49.1,72.0,85.1,3
Eprom,2019,63.5,19.2,3.8,130.0,1
Equalisation,2020,73.4,76.4,12.0,114.0,1
Equalz,2016,70.9,65.8,51.3,104.8,1
Equalz,2019,75.8,57.7,76.5,117.1,5
Era Istrefi,2016,63.2,68.1,63.3,126.5,1
Era Istrefi,2017,52.4,72.9,28.6,145.1,1
Eraserheads,1993,47.9,49.3,43.8,144.6,1
Eraserheads,2004,44.7,54.2,47.5,125.4,4
Erasure,1988,60.2,69.1,60.8,113.8,2
Erasure,1991,62.2,71.2,87.0,120.0,1
Erasure,2009,60.7,78.4,62.2,113.8,1
Erasure,2015,60.2,77.2,62.7,128.1,2
Eredaze,2019,65.3,50.5,11.4,93.0,1
Eric Bellinger,2015,74.7,53.8,33.8,93.9,1
Eric Bellinger,2019,67.7,69.1,35.0,99.9,1
Eric Burdon,1976,84.5,44.7,95.3,119.4,1
Eric Church,2018,50.6,44.1,50.7,198.8,1
Eric Clapton,1970,43.0,68.2,69.3,122.3,1
Eric Clapton,1977,69.9,50.2,67.6,105.3,1
Eric Clapton,1978,54.6,36.1,70.9,154.8,1
Eric Clapton,1992,69.5,33.6,42.2,79.1,1
Eric Clapton,1995,67.2,59.8,80.6,110.7,2
Eric Clapton,1999,53.4,62.6,52.8,109.3,2
Eric Clapton,2018,68.8,76.2,51.5,94.2,1
Eric Prydz,1905,57.5,87.9,43.4,126.5,2
Eric Prydz,2008,60.4,87.4,83.5,126.0,1
Eric Roberson,2011,63.2,62.6,58.1,108.0,3
Erica Campbell,2015,64.9,57.2,34.6,151.8,1
Erick Decks,2007,81.3,56.4,76.7,127.0,1
Erick Morillo,1905,75.8,82.9,39.2,124.0,2
Erick Morillo,2011,67.5,78.5,26.7,128.0,1
Erick Morillo,2012,55.8,74.3,20.1,127.8,1
Erick Morillo,2016,68.0,88.8,59.7,122.0,1
Erick Morillo,2017,70.9,83.8,56.5,124.0,1
Erick Morillo,2018,71.4,89.9,48.9,124.0,1
Ericovich,2019,46.5,82.6,33.8,160.0,1
Erik Kearing,2019,77.7,39.3,35.8,80.9,1
Erika Ender,2007,78.5,91.7,87.5,102.0,1
Erlandsson,2017,40.3,87.5,64.2,128.2,1
Erlandsson,2018,64.4,70.2,28.3,128.0,2
Erlandsson,2019,69.8,81.6,47.4,116.0,2
Eros Ramazzotti,2018,67.5,89.2,53.2,106.6,2
Erre XI,2008,78.9,90.4,76.3,101.0,2
Erwin de Ruiter,2017,50.4,82.1,48.1,129.0,1
Erykah Badu,1997,74.9,39.1,38.1,99.8,7
Erykah Badu,2000,70.0,33.8,58.8,113.9,6
Erykah Badu,2003,66.9,52.8,54.6,88.4,2
Erykah Badu,2008,51.4,61.7,24.4,92.1,1
Erykah Badu,2010,59.9,67.1,53.0,139.7,4
Eryn Allen Kane,2015,45.0,47.8,21.8,83.5,2
Esbie Fonte,2019,67.4,73.0,20.1,145.0,1
Escape With Romeo,1989,56.8,79.2,54.8,117.8,1
Escape the Fate,2013,52.8,96.0,41.6,90.0,1
Escape the Fate,2018,51.1,91.7,17.7,125.0,1
Esco,2018,57.7,55.6,35.9,143.8,1
Esco,2019,59.8,52.8,36.3,144.8,1
Ese Lil Joker,2009,90.6,44.0,77.1,93.7,1
Esko,2015,72.6,56.2,32.6,150.1,1
Esperanza Spalding,2008,50.6,41.0,53.9,118.7,4
Estelle,2008,68.3,74.7,72.2,82.0,1
Estelle,2012,65.3,89.8,96.3,145.0,1
Estelle,2019,60.9,76.4,53.1,128.1,1
Esther Phillips,2005,59.4,27.6,60.2,106.4,1
Estikay,2020,67.2,58.7,31.3,89.8,1
Estrella Morente,2006,58.3,38.6,63.4,101.0,1
Estro,2019,79.6,80.2,79.6,91.0,1
Eternal,1905,59.1,72.7,84.6,98.5,1
Eternal,2014,63.7,67.2,83.8,202.1,1
Etta James,1905,16.8,32.6,32.2,174.8,1
Etta James,2011,33.1,45.0,54.8,168.7,1
Europe,1905,52.1,75.4,24.2,119.9,3
Europe,2012,81.3,83.3,90.1,127.9,1
Eurythmics,1983,67.0,73.3,74.1,125.7,2
Eurythmics,1985,61.3,91.2,73.2,132.0,1
Eva Simons,2013,71.6,92.4,22.1,128.0,1
Eva Simons,2015,64.3,95.5,88.1,104.7,1
Eva Simons,2016,72.5,99.6,35.5,125.0,1
Eva Under Fire,2018,58.4,90.8,54.6,142.0,1
Evaluna Montaner,2018,69.6,75.3,40.8,101.5,2
Evalyn,2017,60.7,55.0,8.6,124.9,1
Evan Blum,2019,80.2,71.6,59.7,114.0,1
Evan Craft,2017,72.1,80.2,66.1,96.0,1
Evan Petruzzi,2018,74.2,54.6,69.2,127.0,1
Evan Troop,2019,59.2,80.4,61.0,108.0,1
Evanescence,1905,57.2,92.1,49.4,122.0,1
Evanescence,2003,35.6,71.4,27.7,139.8,3
Evans Blue,2010,50.2,92.8,46.5,91.0,1
Eve,2001,83.9,70.8,72.2,93.2,2
Eve,2013,64.1,80.4,41.8,150.1,1
Eve To Adam,2013,37.7,98.1,47.2,172.1,1
Evelyn DuVall,2019,84.4,50.6,53.1,120.0,1
Everclear,1995,49.1,94.2,38.7,100.4,1
Evernone,2020,59.1,82.6,33.0,145.0,1
Everything Is Recorded,2017,76.8,37.2,26.8,148.5,1
Evie Clair,2020,48.6,38.9,8.7,127.5,1
Evokings,2019,75.7,89.2,14.3,124.0,1
Exact Change Project,2012,68.7,53.5,51.6,94.9,1
Example,2019,78.8,79.9,90.5,124.0,1
Excision,2015,65.6,93.4,42.1,174.0,1
Excision,2018,36.3,73.5,7.2,145.6,1
Exile,1905,74.1,26.7,49.7,102.4,1
Extreme,1990,62.3,12.7,23.7,91.6,1
Extreme Music,2015,39.2,66.9,34.8,127.1,2
Eyes Everywhere,2018,71.5,92.4,53.2,124.0,1
Eylie,2019,54.0,38.5,25.0,79.8,1
Ez Quew,2019,69.5,78.1,45.0,120.0,1
Ezio Oliva,2017,71.5,88.3,49.2,100.0,1
Ezra Collective,2019,81.0,70.5,68.1,96.7,1
Ezra Vine,2014,60.4,84.1,57.8,139.0,1
FABV,2019,49.6,86.5,32.3,125.9,1
FANATICS,2019,73.7,79.3,56.2,120.0,1
FANNYPACK,2019,43.4,91.7,62.2,122.0,1
FARR,2017,59.0,43.6,22.2,146.9,1
FAULHABER,2018,86.9,80.1,72.8,118.0,1
FAULHABER,2019,72.1,77.9,32.7,110.0,1
FBC,2019,74.8,67.2,41.4,152.5,2
FDVM,2015,81.2,47.2,59.6,122.0,1
FEARSTbeats,2018,52.0,90.1,28.6,140.0,1
FG,2018,64.5,27.0,19.4,140.0,1
FG Famous,2018,81.9,73.9,52.6,129.8,1
FINNEAS,2018,73.7,40.8,37.4,127.9,1
FISHER,2017,83.6,90.4,82.0,124.5,2
FISHER,2018,81.5,81.4,74.8,125.0,2
FIXL,2020,70.2,72.2,52.8,118.0,1
FKA twigs,2014,48.0,71.7,33.5,109.8,1
FKA twigs,2019,49.8,43.0,24.8,133.4,2
FKJ,2014,66.0,63.2,36.8,84.6,2
FKJ,2017,55.9,44.6,29.0,99.8,5
FLETCHER,2019,65.1,60.3,47.6,121.5,4
FLORA,2019,47.0,37.9,57.3,112.9,1
FMK,2018,67.2,44.8,28.0,135.0,2
FMK,2019,65.0,49.0,40.4,104.9,2
FMLYBND,2020,62.6,62.1,70.8,150.1,1
FRENSHIP,2014,70.3,73.1,59.6,110.0,1
FRENSHIP,2016,74.2,78.4,60.4,100.5,2
FRENSHIP,2017,59.4,70.9,58.7,90.0,1
FRENSHIP,2019,63.1,60.0,52.5,76.0,1
FSK SATELLITE,2019,83.8,59.7,59.1,112.0,3
FTampa,2016,63.6,83.3,81.7,128.0,1
FTampa,2017,52.7,85.1,49.0,97.0,1
FUNKYBEAT,2019,72.7,66.4,19.8,117.1,1
FWHO,2019,77.3,68.3,39.5,123.0,1
Faber Drive,2007,39.5,94.0,56.4,166.0,1
Fabian Mazur,2017,78.9,83.0,44.3,100.0,1
Fabian Mazur,2018,72.6,82.1,51.4,156.9,2
Fabian Mazur,2019,84.4,75.2,58.0,97.0,1
Fabio Carry,2015,70.5,55.0,44.9,115.0,1
Fabio Rovazzi,2019,82.2,85.6,69.2,115.0,1
Fabio Vela,2019,81.1,85.6,42.1,125.0,1
Fabolous,2003,64.6,60.0,81.1,192.1,1
Fabolous,2007,66.0,75.4,53.6,84.8,2
Fabolous,2015,72.3,57.1,61.8,91.9,1
Fabolous,2019,73.4,63.5,45.3,107.0,1
Facemob,2013,47.8,72.5,17.5,81.6,1
Fahrland,2019,75.7,79.9,9.3,119.0,1
Fainal,2010,77.0,80.4,85.8,116.0,1
Fairlane,2019,44.7,66.4,9.4,121.5,2
Faith Evans,1905,65.1,58.6,63.7,114.2,5
Faith Evans,2005,30.3,58.2,43.2,74.8,1
Faith Evans,2010,46.9,54.4,34.3,75.1,1
Faith Evans,2012,41.9,54.1,24.4,127.3,1
Faithless,2005,60.7,89.7,39.1,130.6,1
Fake Mood,2015,85.3,62.2,47.5,118.0,1
Fake Pictures,2017,74.7,80.3,81.4,118.0,1
Fakear,2019,67.9,84.6,50.2,110.0,1
Falco,1905,62.0,77.8,91.2,176.7,1
Falco,2010,60.9,90.1,86.6,176.7,1
Falco,2018,87.0,62.5,9.8,125.0,1
Fall Out Boy,2007,44.7,88.9,49.8,177.4,2
Fall Out Boy,2008,55.0,93.8,43.3,134.0,1
Fall Out Boy,2013,55.7,93.4,52.8,126.7,3
Fall Out Boy,2015,53.0,90.6,54.2,149.8,4
Fall Out Boy,2017,30.5,89.9,30.1,187.9,1
Fallen Roses,2020,72.9,33.7,38.8,102.5,2
Falling Decibyls,2019,81.3,88.5,35.1,124.0,1
Falling In Reverse,2019,46.1,89.7,35.8,165.1,1
Falling North,2019,52.1,80.9,49.1,150.0,1
Famba,2018,48.7,77.8,58.4,100.0,1
Famba,2019,70.8,81.9,49.1,123.0,3
Fame on Fire,2017,53.4,94.0,33.9,155.0,1
Fame on Fire,2019,47.9,99.2,36.2,155.0,1
Familjen,2007,70.4,80.8,84.5,130.0,1
Familjen,2008,80.5,74.6,96.2,128.0,1
Famous Dex,2017,92.1,46.7,28.7,136.0,1
Famous Dex,2018,73.3,67.8,84.1,176.0,1
Fanny Lu,1905,73.1,88.1,87.8,104.0,1
Fanny Lu,2008,85.9,90.7,92.1,125.0,1
Fanny Lu,2009,79.0,82.8,86.6,116.5,2
Fanny Lu,2012,78.6,85.5,94.9,115.5,2
Fanny Lu,2019,87.6,73.8,74.1,96.0,1
Fantasia,2004,71.7,44.9,61.1,108.8,1
Fantasia,2006,56.9,59.6,75.7,93.1,1
Fantasia,2010,36.7,61.4,53.6,144.5,1
Fantasia,2013,67.9,75.9,33.3,87.6,1
Fantasia,2019,63.7,77.2,70.0,160.9,1
Fanvel,2017,67.3,77.5,61.6,150.0,1
Far East Movement,2010,43.5,83.7,77.8,124.9,1
Far East Movement,2014,79.4,91.2,50.0,129.0,2
Far East Movement,2016,61.2,80.2,57.3,124.7,3
Far Out,2018,40.3,77.9,10.3,145.1,1
Far Out,2019,49.9,87.2,25.0,146.9,1
Fard,2018,66.9,72.0,71.5,95.0,1
Fareoh,2017,60.4,97.8,42.4,150.1,1
Farina,2019,67.4,75.8,73.7,180.0,1
Farnell Newton,2019,66.5,36.4,36.4,78.0,1
Farruko,2010,74.7,52.8,60.3,87.0,1
Farruko,2011,74.4,83.7,70.6,92.0,1
Farruko,2014,79.5,70.2,78.3,81.0,1
Farruko,2015,75.6,74.2,57.4,114.0,3
Farruko,2016,70.9,80.6,82.2,144.5,6
Farruko,2017,73.5,72.6,57.8,119.0,3
Farruko,2018,70.3,81.5,90.9,172.1,2
Farruko,2019,70.1,75.3,68.3,132.4,7
Faruz Feet,2020,55.7,89.1,71.6,85.0,1
Fase,2002,43.7,55.0,37.9,169.9,1
Fastball,1998,64.6,88.2,90.8,120.8,1
Faster Pussycat,1989,51.9,61.0,23.2,121.3,1
Fat Joe,2001,83.5,70.7,91.9,94.0,1
Fat Joe,2006,74.4,69.7,76.7,149.3,1
Fat Joe,2016,53.6,72.1,39.3,117.1,1
Fat Nick,2016,77.0,62.3,9.5,135.0,1
Fat Nick,2017,82.7,77.1,54.5,149.9,1
Fat Pat,1905,80.9,64.2,66.6,115.5,6
Fat Pat,1998,78.4,61.6,67.0,119.0,3
Fat Pat,2012,68.7,59.3,60.8,115.1,1
Fatai,2019,81.7,31.2,45.6,112.1,1
Fatboy Slim,1998,71.4,86.2,78.2,101.8,1
Fatboy Slim,2010,53.8,67.5,9.9,126.0,1
Fatboy Slim,2018,81.3,78.1,81.1,121.0,1
Fatboy Slim,2019,66.3,84.6,31.5,110.0,1
Fates Warning,1905,52.8,87.9,55.3,90.1,1
Fatesky,2019,83.7,72.6,53.2,124.0,1
Father John Misty,2015,43.6,80.4,78.4,188.1,1
Father MC,1990,71.0,72.0,63.5,106.9,1
Father MC,1992,78.4,73.6,75.7,107.9,4
Father MC,2010,83.2,66.6,81.0,109.5,2
Father MC,2011,83.2,66.6,81.0,109.5,1
Fatima,1905,87.6,34.7,37.6,98.1,1
Fatlip,1905,79.1,64.6,51.3,169.9,1
Faucon,2019,72.7,81.9,25.8,124.0,1
Faustix,2018,54.4,81.6,44.8,98.1,2
Faustix,2019,67.4,76.5,62.8,117.5,2
Favian Lovo,2019,75.6,72.8,75.8,99.5,2
Favored Nations,2013,83.9,74.1,91.6,125.0,1
Faya,2013,80.0,98.9,6.7,126.0,1
Faydee,2015,71.6,65.6,42.4,101.1,1
Faydee,2016,78.1,91.9,77.7,110.0,1
Faydee,2019,82.5,60.6,71.4,174.0,1
Faye Meana,2017,68.5,32.6,36.8,172.0,2
Faye Webster,2019,72.3,43.0,43.2,129.6,2
Fayn,2017,66.4,69.5,22.0,128.7,2
Fayn,2019,51.1,81.6,56.7,176.4,1
Fe Ribeiro,2019,90.1,50.2,74.4,130.0,1
Feathers,2013,64.4,75.8,75.8,109.0,1
Fedde Le Grand,2014,53.5,70.2,34.8,128.0,1
Fedde Le Grand,2015,68.4,70.7,57.1,128.0,1
Fedde Le Grand,2019,65.7,97.6,79.4,126.0,1
Federico Franchi,2007,85.3,65.2,54.5,125.0,1
Fee Gonzales,2019,70.0,45.8,65.7,128.0,1
Feed Me,2019,66.3,72.7,34.0,126.2,1
Feenixpawl,2013,56.6,84.6,51.7,127.9,1
Feenixpawl,2015,63.2,81.4,49.1,128.0,2
Feenixpawl,2016,54.6,76.8,42.7,128.0,1
Fefe Dobson,2010,44.0,87.0,32.6,172.0,1
Feid,2019,75.3,62.4,67.9,145.7,5
Feindflug,2008,60.1,95.7,33.2,135.0,1
Feint,2015,37.7,85.8,11.7,174.8,1
Fela Kuti,1973,77.0,73.4,68.6,93.1,1
Felibena,2020,79.9,84.0,42.0,91.0,1
Felipe Flip,2019,78.8,64.0,57.2,97.1,1
Felix,2015,60.3,91.6,7.5,128.1,1
Felix Cartal,2013,67.9,92.3,65.2,128.0,1
Felix Cartal,2016,63.6,86.1,44.3,117.9,1
Felix Cartal,2017,61.9,76.7,24.7,121.0,1
Felix Cartal,2019,70.2,81.5,41.2,119.0,2
Felix Jaehn,2014,77.1,69.2,44.3,116.0,1
Felix Jaehn,2015,76.8,56.7,47.1,118.0,1
Felix Jaehn,2016,77.1,78.5,33.4,111.1,1
Felix Jaehn,2018,72.5,75.6,51.2,114.1,4
Felix Jaehn,2019,74.4,87.1,52.4,126.7,3
Felix Palmqvist,2017,49.9,61.0,29.9,155.2,1
Fella,2019,61.3,76.1,23.8,120.2,1
Felly,2014,76.7,48.0,41.6,79.8,2
Felon,2015,52.7,80.8,59.7,125.0,1
Femina,2014,76.1,56.3,59.2,107.0,1
Fenris,2018,72.2,52.7,36.4,119.9,1
Fer Palacio,2019,79.5,67.6,88.2,100.0,1
Ferdinand Weber,2015,79.8,71.8,45.0,120.0,1
Ferdinand Weber,2020,82.8,93.2,57.6,123.0,1
Ferdy,1905,82.2,83.3,90.9,98.5,1
Fergie,2006,70.8,64.1,25.3,113.1,1
Fermin IV,2019,67.3,55.5,42.4,158.2,1
Ferreck Dawn,2018,85.5,78.2,49.9,123.0,1
Fetty Wap,2015,70.4,77.4,57.0,143.7,3
Fetty Wap,2016,64.7,67.3,52.7,180.0,1
Fever Feel,2019,52.8,42.9,44.4,114.8,2
Fey,1996,68.2,94.8,63.4,130.1,1
Fey,2004,77.3,69.4,82.9,95.0,1
Feyago,2016,64.0,49.2,39.5,159.7,1
Ffion,2017,70.9,32.2,38.4,85.2,1
Fickle Friends,2017,67.9,77.5,65.6,115.5,2
Fickle Friends,2018,66.9,84.2,76.8,121.0,5
Fiction Factory,1984,54.1,82.2,71.9,116.7,1
Fideo y los del mondo,2016,71.3,77.5,75.8,110.1,1
Fideo y los del mondo,2019,79.2,35.0,68.4,95.0,2
Field Mob,2006,93.1,48.6,89.6,120.0,1
Fifth Harmony,2015,88.4,76.5,59.4,100.0,1
Fifth Harmony,2016,72.3,71.4,65.5,126.8,4
Figub Brazlevic,2019,66.8,63.5,55.3,114.7,3
Fili,2019,45.5,51.0,3.7,100.1,1
Filip Jenven,2014,79.7,96.2,42.2,128.0,1
Filipe Catto,2017,59.0,50.1,18.0,139.9,1
Filipe Ret,2019,68.7,64.4,29.4,125.2,2
Filipek,2019,78.9,65.2,41.4,106.0,1
Fine Young Cannibals,1988,79.9,68.7,96.5,108.8,1
FineRefined,2018,75.9,80.3,36.8,128.1,1
FineRefined,2019,77.1,82.7,75.9,128.0,1
Finesse,2020,68.7,18.8,90.8,168.0,1
Finley Quaye,1997,68.7,58.9,68.6,92.0,1
Fiona Apple,1996,59.5,80.4,58.6,89.8,1
Fire From The Gods,2019,49.2,94.3,46.6,132.5,3
Firebeatz,2014,63.9,84.9,28.4,128.4,5
Firebeatz,2015,66.6,89.5,24.6,128.0,3
Firebeatz,2017,58.6,88.1,15.4,126.0,1
Firebeatz,2018,63.7,92.8,68.0,129.0,1
Firebeatz,2019,70.6,82.6,46.5,126.1,2
Firefall,2009,56.2,75.5,68.4,120.5,3
Firehouse,1990,61.6,80.7,63.7,111.0,1
Firetek,2019,50.4,95.6,26.9,132.4,2
Firewoodisland,2016,56.3,40.6,15.2,89.0,1
Fish Go Deep,1905,77.0,75.1,96.6,126.0,1
Fishbach,2017,56.1,64.0,28.8,98.0,1
Fishbach,2018,67.8,63.0,84.0,99.0,2
Fitz and The Tantrums,2010,46.9,65.4,33.8,118.0,1
Fitz and The Tantrums,2013,54.5,96.8,52.7,170.0,1
Fitz and The Tantrums,2017,63.6,83.6,71.5,140.0,1
Fitz and The Tantrums,2019,71.5,96.0,80.9,170.0,1
Five Finger Death Punch,1905,47.8,99.6,11.6,76.0,1
Five Finger Death Punch,2007,42.9,88.8,20.0,143.0,2
Five Finger Death Punch,2009,55.7,88.6,17.0,114.0,1
Five Finger Death Punch,2011,41.4,94.9,17.6,123.1,4
Five Finger Death Punch,2013,52.8,97.1,43.6,120.3,8
Five Finger Death Punch,2015,50.3,97.3,52.5,102.2,3
Five Finger Death Punch,2017,50.1,77.9,23.1,106.0,1
Five Finger Death Punch,2019,42.3,95.0,27.5,107.3,3
Five Finger Death Punch,2020,49.5,99.3,29.0,149.9,1
Five Revolutions,2017,63.4,98.0,51.1,88.8,1
Fivio Foreign,2019,81.4,66.1,47.4,140.0,1
Fivio Foreign,2020,71.5,53.7,28.7,143.0,1
Fiya,2014,29.5,76.0,34.5,143.3,1
Flamma,2019,69.4,62.9,61.8,140.0,1
Flatdisk,2016,71.3,72.2,48.2,124.0,1
Flatdisk,2019,43.2,59.2,60.8,73.8,1
Flatt Lonesome,2016,30.9,52.7,48.4,177.1,1
Flavien Berger,2018,76.0,33.6,51.0,120.0,1
Fleet Foxes,2011,32.4,46.3,20.0,125.3,1
Fleetwood Mac,1975,62.2,41.6,67.2,139.3,3
Fleetwood Mac,1977,65.3,62.1,77.7,139.1,8
Fleetwood Mac,1987,70.0,62.0,67.8,120.1,2
Fleetwood Mac,1988,61.6,68.0,85.4,130.5,3
Fleetwood Mac,2018,52.6,62.4,65.2,103.2,2
Fler,2010,62.2,67.5,60.2,127.9,1
Fler,2016,80.6,62.6,17.2,126.0,1
Fler,2018,67.2,52.5,43.3,132.6,1
Flesh For Lulu,1987,63.1,81.4,83.1,127.3,1
Fletcher Reed,2020,68.6,66.0,32.2,97.0,1
Fleurie,2016,25.5,47.9,6.1,136.8,1
Flex,2007,53.6,59.8,46.5,84.0,1
Flight Club,2019,47.3,88.2,58.1,142.7,3
