track_artist,released_year,danceability,energy,valence,tempo,number_of_songs
Aaryan Shah,2020,31.7,21.2,12.8,118.9,1
Aaryn Doyle,2008,71.0,87.1,64.7,101.0,1
Abby K,2019,63.0,47.0,32.4,129.9,2
Abdi,2016,81.2,70.7,53.0,93.0,1
Abdi,2017,81.7,74.5,22.1,135.0,1
Abdi,2018,90.1,82.8,47.5,135.0,1
Abel Ganz,2008,33.7,57.9,9.3,133.2,1
Abel Pintos,2019,55.2,67.2,12.4,116.3,1
Abel Ramos,2010,78.9,84.9,10.3,128.0,1
Able Faces,2020,72.8,60.1,46.1,92.0,1
Above The Law,1990,69.9,92.6,75.6,97.8,1
Above The Law,2013,54.6,79.6,25.0,175.1,1
Abraham Mateo,2017,69.0,87.2,73.1,94.0,1
Abraham Mateo,2019,64.8,75.2,40.5,178.2,1
Abram Mahoney,2019,64.6,41.8,23.5,111.0,2
Abstract Orchestra,2018,74.8,41.1,33.9,91.9,1
Abstract Rude,2017,74.9,53.7,60.6,142.6,1
Aby,2015,72.6,78.0,56.5,118.0,1
Academics,2009,77.0,49.8,80.7,92.8,1
Accept,2019,61.2,82.2,68.6,128.0,1
Ace,1974,71.7,40.6,70.3,123.2,1
Ace Hood,2019,76.1,42.6,14.1,155.0,1
Ace of Base,1905,80.8,78.6,89.9,97.0,1
Ace of Base,1994,70.7,62.8,87.0,187.6,1
Ace of Base,1999,74.1,95.3,73.5,135.0,1
Achille Lauro,2019,45.2,51.0,54.0,73.0,1
AchtVier,2013,47.1,93.2,57.4,125.8,1
AchtVier,2015,49.3,82.2,32.9,86.3,1
AchtVier,2017,74.6,87.2,32.2,96.5,2
Achtabahn,2016,82.9,76.5,73.6,122.0,1
Acidic Base,2019,42.5,88.0,6.3,179.7,1
Action Bronson,2013,52.5,86.1,64.9,135.3,1
Aczino,1905,54.2,75.2,59.3,87.3,1
Adam Ant,1905,62.4,99.1,53.5,95.5,1
Adam Beyer,2019,54.3,81.4,65.0,126.0,1
Adam Calhoun,2018,64.3,52.4,34.3,96.0,3
Adam De Great,2019,67.7,90.0,35.1,127.9,1
Adam Hicks,2011,54.6,79.8,50.9,162.0,2
Adam Jensen,2017,78.2,46.8,65.5,125.0,1
Adam Jensen,2019,31.8,51.3,59.1,183.0,1
Adam K,2019,72.8,67.5,47.6,118.0,1
Adam Lambert,2015,70.3,73.6,27.4,120.0,1
Adam Marano,1905,70.1,92.3,81.3,125.8,1
Adam Neely,2019,56.6,48.7,41.4,98.0,1
Adamovich,2020,55.8,52.8,58.0,79.4,1
Adaptiv,2019,64.4,89.0,44.8,125.0,1
Adara,2016,59.0,72.7,21.4,128.0,1
Addal,2019,65.5,82.5,57.9,110.1,1
Adeena,2019,86.2,63.3,63.5,104.0,1
Adele,2008,65.3,55.3,49.7,98.7,4
Adele,2011,58.0,55.6,43.2,117.5,5
Adele,2015,47.0,43.1,28.9,158.0,1
Adele,2016,69.0,52.4,56.2,164.0,1
Adelitas Way,2009,40.5,96.2,48.9,170.0,1
Adelitas Way,2019,48.3,88.7,40.6,91.0,1
Adesha,2018,71.1,69.7,66.4,90.0,1
Adia Victoria,2019,59.5,43.3,46.5,108.0,1
Adil C,2019,54.5,62.6,57.1,92.0,1
Adina Howard,1905,65.5,83.7,66.0,91.0,1
Adon,2019,63.2,63.2,36.0,104.6,2
Adrenalina Latina,2019,80.9,56.4,80.2,100.0,1
Adrian Emile,2013,65.6,98.3,19.3,127.9,1
Adrian Hour,2014,82.1,68.1,6.2,126.0,1
Adrian Hour,2019,38.9,78.0,61.5,123.0,1
Adrian Lux,2013,43.3,83.8,37.9,128.1,1
Adriana Evans,2017,57.3,67.2,64.8,166.0,1
Adrianne Archie,2006,59.4,72.0,52.2,125.0,4
Adrianne Archie,2009,69.6,60.5,74.9,109.5,3
Adriatique,2018,71.6,77.8,2.8,121.0,1
Adrienne Pauly,2006,75.4,79.4,74.8,122.0,1
Adrinaline,2018,53.0,88.8,15.4,140.0,1
Adro,2019,60.6,88.1,16.3,80.0,1
Advaita,2015,69.1,69.5,53.2,141.1,2
Adventure Club,2013,56.7,74.2,23.0,134.0,2
Adventure Club,2014,70.1,60.7,34.2,128.0,1
Adventure Club,2016,51.1,72.4,13.2,80.0,1
Ady Suleiman,2018,69.5,55.8,76.8,171.9,1
Ady Suleiman,2019,70.8,48.8,77.4,160.1,1
Aer,2012,87.0,71.8,68.2,85.0,1
Aeris Roves,2018,67.7,38.8,41.9,119.1,1
Aeris Roves,2019,62.4,41.8,38.7,178.0,1
Aero Chord,2015,66.2,92.7,46.8,118.0,2
Aero Chord,2017,67.3,99.3,8.2,130.0,1
Aerophon,2012,55.1,83.1,89.7,172.4,1
Aerosmith,1905,46.4,86.7,39.0,84.5,1
Aerosmith,1973,43.0,55.9,39.7,149.4,2
Aerosmith,1974,35.9,85.4,47.2,99.4,1
Aerosmith,1975,41.7,80.6,61.0,135.2,3
Aerosmith,1976,42.6,90.3,76.2,122.2,1
Aerosmith,1980,52.7,71.3,65.9,105.6,3
Aerosmith,1987,54.0,98.2,91.0,126.3,1
Aerosmith,1998,38.6,65.6,14.1,121.2,2
Aerosmith,2011,47.0,88.2,47.9,109.2,6
Aerreo,2018,62.7,72.2,26.1,93.0,1
Aesthetic Perfection,2008,47.9,96.8,56.8,117.0,2
Aexcit,2019,60.5,65.8,47.5,120.0,1
Afluen,2018,91.4,24.5,64.8,88.0,1
Afro B,2019,93.4,64.2,74.8,108.0,1
Afro Bros,2018,76.6,76.3,38.8,140.0,2
Afro Bros,2019,53.2,42.1,48.9,200.1,1
Afrodisiaco,2015,78.7,82.8,83.7,109.5,2
Afrodisiaco,2019,72.7,92.5,73.6,147.1,1
Afrojack,1905,74.0,82.8,25.9,128.0,1
Afrojack,2011,80.1,75.4,38.4,128.0,2
Afrojack,2012,54.1,84.6,43.2,130.0,2
Afrojack,2013,65.2,89.2,34.9,128.0,1
Afrojack,2014,60.2,85.9,34.5,129.2,14
Afrojack,2017,57.0,79.2,56.2,124.9,2
Afrojack,2019,76.8,67.6,61.0,110.0,1
Afterlight,2019,50.3,98.3,46.8,150.1,1
Agar Agar,2016,78.6,44.1,48.2,151.0,2
Agar Agar,2017,61.3,63.4,49.6,107.0,1
Agar Agar,2018,72.8,38.8,57.0,95.0,1
Agat,2019,80.0,73.4,49.6,122.0,1
Age of Consent,2012,88.4,46.2,53.1,120.0,1
Age of Consent,2013,82.5,70.7,35.5,116.0,1
Agents Of Time,2018,78.6,80.5,36.8,126.0,1
Agnes Nunes,2019,58.6,26.4,21.0,80.2,1
Agnes Obel,2016,54.1,28.1,27.7,126.0,10
Agonoize,2006,58.0,89.0,74.3,140.0,1
Agonoize,2007,60.9,98.8,48.9,136.0,1
Agonoize,2008,50.7,99.9,39.7,140.0,1
Agonoize,2012,72.1,93.9,44.6,135.0,1
Agus Padilla,2019,75.3,90.1,75.6,178.0,1
Agus Zack,2019,58.4,99.4,13.3,139.0,2
Agusa,2017,29.0,49.8,47.4,89.5,1
Ahzee,2014,79.6,90.7,6.2,128.0,1
Ailee,2019,69.7,89.7,73.6,140.0,1
Aimee Mann,1999,61.6,34.6,34.4,143.4,1
Air Supply,1980,54.8,28.9,39.7,111.4,2
Air Traffic Controller,2012,61.2,91.3,80.3,120.0,1
Airbourne,2019,33.8,94.7,45.2,114.2,2
Aitana,2018,69.1,82.9,56.4,172.2,1
