track_artist,released_year,averagePopularity,averagePopularity
Adrian Hour,2019,7.0,7.0
Adrian Lux,2013,30.0,30.0
Adriana Evans,2017,38.0,38.0
Adrianne Archie,2006,7.5,7.5
Adrianne Archie,2009,3.0,3.0
Adriatique,2018,46.0,46.0
Adrienne Pauly,2006,26.0,26.0
Adrinaline,2018,0.0,0.0
Adro,2019,35.0,35.0
Advaita,2015,16.5,16.5
Adventure Club,2013,1.0,1.0
Adventure Club,2014,0.0,0.0
Adventure Club,2016,0.0,0.0
Ady Suleiman,2018,40.0,40.0
Ady Suleiman,2019,47.0,47.0
Aer,2012,58.0,58.0
Aeris Roves,2018,49.0,49.0
Aeris Roves,2019,47.0,47.0
Aero Chord,2015,0.0,0.0
Aero Chord,2017,0.0,0.0
Aerophon,2012,0.0,0.0
Aerosmith,1905,25.0,25.0
Aerosmith,1973,61.5,61.5
Aerosmith,1974,50.0,50.0
Aerosmith,1975,65.66666666666667,65.7
Aerosmith,1976,60.0,60.0
Aerosmith,1980,41.666666666666664,41.7
Aerosmith,1987,70.0,70.0
Aerosmith,1998,74.5,74.5
Aerosmith,2011,23.333333333333332,23.3
Aerreo,2018,44.0,44.0
Aesthetic Perfection,2008,40.5,40.5
Aexcit,2019,45.0,45.0
Afluen,2018,47.0,47.0
Afro B,2019,66.0,66.0
Afro Bros,2018,41.0,41.0
Afro Bros,2019,31.0,31.0
Afrodisiaco,2015,0.0,0.0
Afrodisiaco,2019,25.0,25.0
Afrojack,1905,39.0,39.0
Afrojack,2011,13.0,13.0
Afrojack,2012,42.5,42.5
Afrojack,2013,0.0,0.0
Afrojack,2014,17.0,17.0
Afrojack,2017,3.0,3.0
Afrojack,2019,54.0,54.0
Afterlight,2019,18.0,18.0
Agar Agar,2016,56.5,56.5
Agar Agar,2017,56.0,56.0
Agar Agar,2018,45.0,45.0
Agat,2019,2.0,2.0
Age of Consent,2012,38.0,38.0
Age of Consent,2013,39.0,39.0
Agents Of Time,2018,14.0,14.0
Agnes Nunes,2019,64.0,64.0
Agnes Obel,2016,43.8,43.8
Agonoize,2006,0.0,0.0
Agonoize,2007,0.0,0.0
Agonoize,2008,0.0,0.0
Agonoize,2012,0.0,0.0
Agus Padilla,2019,55.0,55.0
Agus Zack,2019,22.0,22.0
Agusa,2017,10.0,10.0
Ahzee,2014,42.0,42.0
Ailee,2019,57.0,57.0
Aimee Mann,1999,56.0,56.0
Air Supply,1980,63.5,63.5
Air Traffic Controller,2012,39.0,39.0
Airbourne,2019,45.5,45.5
Aitana,2018,62.0,62.0
Aitana,2019,75.5,75.5
Aitch,2019,63.333333333333336,63.3
Aitor Blond,2019,34.0,34.0
Aivarask,2018,39.0,39.0
Aivarask,2019,56.0,56.0
Aiwass,2019,40.0,40.0
Aiyo,2019,51.0,51.0
Akane,2019,27.0,27.0
Akane Hatanaka,2019,1.0,1.0
Akapellah,2016,45.0,45.0
Akcent,2006,40.0,40.0
Akim,2019,55.0,55.0
Akira Terao,1981,32.0,32.0
Akon,1905,49.0,49.0
Akon,2006,55.0,55.0
Akon,2008,66.0,66.0
Akon,2010,53.0,53.0
Akon,2013,30.4,30.4
Akon,2019,30.0,30.0
Akwid,2005,58.0,58.0
Akwid,2007,24.0,24.0
Akwid,2010,41.666666666666664,41.7
Akwid,2013,38.0,38.0
Akwid,2015,32.0,32.0
Akwid,2019,45.0,45.0
Al Stewart,1905,46.0,46.0
Alabama Shakes,2015,9.0,9.0
Alaina Castillo,2019,25.0,25.0
Alamid,1994,42.0,42.0
Alamid,2012,51.0,51.0
Alan Silvestri,2013,45.0,45.0
Alan Walker,2015,77.0,77.0
Alan Walker,2016,39.8,39.8
Alan Walker,2017,49.22222222222222,49.2
Alan Walker,2018,73.0,73.0
Alan Walker,2019,74.75,74.8
Alan Zachary,2020,33.0,33.0
Alanis Morissette,1905,70.0,70.0
Alanis Morissette,2005,47.0,47.0
Alba Reche,2019,50.0,50.0
Alban Chela,2020,38.0,38.0
Albert Hammond,1972,62.0,62.0
Albert King,2017,1.0,1.0
Alberto Ciccarini,2019,34.0,34.0
Alberto Dimeo,2017,5.0,5.0
Alberto Urso,2019,45.0,45.0
Albin Myers,2015,0.0,0.0
Albin Myers,2019,41.0,41.0
Alborn,2019,33.0,33.0
Aldair Silva,2015,0.0,0.0
Aldo Nova,1905,51.0,51.0
Aldous Harding,2019,39.0,39.0
Ale Aguirre,2019,37.0,37.0
Ale Mendoza,2013,0.0,0.0
Alec Benjamin,2018,80.0,80.0
Alec Benjamin,2019,79.5,79.5
Alec Benjamin,2020,62.0,62.0
Alejandra Guzman,1905,54.5,54.5
Alejandra Guzman,1991,66.0,66.0
Alejandro Fernandez,2003,9.0,9.0
Alejandro Fernandez,2011,63.0,63.0
Alejandro Fernandez,2017,70.0,70.0
Alejandro Gonzalez,2019,56.5,56.5
Alejandro Sanz,1995,22.0,22.0
Alejandro Sanz,1997,74.0,74.0
Alejandro Sanz,2004,58.0,58.0
Alejandro Sanz,2019,66.0,66.0
Alejo Park,2018,0.0,0.0
Aleks Syntek,2002,45.0,45.0
Aleks Syntek,2009,42.0,42.0
Aleman,2015,52.0,52.0
Aleman,2017,35.5,35.5
Aleman,2019,58.0,58.0
Alenn,2019,31.0,31.0
Alessandra Amoroso,2018,57.0,57.0
Alessi Brothers,1998,47.0,47.0
Alessia Cara,2015,33.0,33.0
Alessia Cara,2016,56.0,56.0
Alessia Cara,2018,50.5,50.5
Alessia Cara,2019,77.0,77.0
Alesso,2012,49.5,49.5
Alesso,2014,24.0,24.0
Alesso,2015,31.5,31.5
Alesso,2016,49.0,49.0
Alesso,2017,5.0,5.0
Alesso,2018,77.0,77.0
Alesso,2019,65.75,65.8
Alex Adair,2015,38.0,38.0
Alex Cuba,2019,50.0,50.0
Alex Da Kid,2017,0.0,0.0
Alex Eugenio,2018,27.0,27.0
Alex Ferreira,2017,38.0,38.0
Alex Fosse,2019,43.0,43.0
Alex Gaudino,1905,0.0,0.0
Alex Gaudino,2019,19.0,19.0
Alex Guesta,2014,6.0,6.0
Alex Herrera,2020,15.0,15.0
Alex Isley,2018,25.0,25.0
