track_artist,released_year,averagePopularity,averagePopularity
Daniel Powter,2010,33.0,33.0
Daniel Sabaterr,2019,40.0,40.0
Daniel Santacruz,2019,46.0,46.0
Daniel Skye,2015,52.0,52.0
Daniela Darcourt,2018,62.0,62.0
Daniela Darcourt,2019,59.0,59.0
Danilo Parra,2014,11.0,11.0
Danko Jones,2019,6.0,6.0
Danna Paola,2019,75.0,75.0
Danni,2020,51.0,51.0
Dannic,2014,23.0,23.0
Dannic,2015,13.5,13.5
Dannic,2016,20.0,20.0
Dannic,2018,21.0,21.0
Dannic,2019,43.0,43.0
Danntik,2019,36.0,36.0
Danny Boone,2014,27.555555555555557,27.6
Danny Boone,2015,36.0,36.0
Danny Boy,2001,16.0,16.0
Danny Brasco,2019,37.0,37.0
Danny Brown,2012,60.0,60.0
Danny Brown,2013,47.5,47.5
Danny Brown,2019,54.0,54.0
Danny Darko,2015,31.0,31.0
Danny Howard,2018,11.0,11.0
Danny Howard,2019,46.0,46.0
Danny Ocean,2017,73.5,73.5
Danny Ocean,2019,53.666666666666664,53.7
Danny Romero,2019,74.0,74.0
Danrell,2017,37.0,37.0
Dante Klein,2016,51.0,51.0
Dante Klein,2019,48.0,48.0
Danzig,1905,1.0,1.0
Danzig,2007,0.0,0.0
Dapuntobeat,2014,17.0,17.0
Dardan,2017,3.0,3.0
Dardan,2018,53.0,53.0
Dardan,2020,76.0,76.0
Darell,2019,73.0,73.0
Darius Rucker,2007,10.0,10.0
Dark Culture,2019,18.0,18.0
Dark Polo Gang,2019,65.0,65.0
Darkiel,2019,59.0,59.0
Darkly,2015,0.0,0.0
Darkoo,2019,75.0,75.0
Darlene Love,1905,73.0,73.0
Darlene McCoy,2012,39.0,39.0
Darlingside,2016,42.0,42.0
Darrell Cole,2017,36.0,36.0
Darude,2007,61.0,61.0
Daryl Hall,1905,34.0,34.0
Das EFX,1992,55.0,55.0
Das EFX,1993,45.0,45.0
Das EFX,1995,58.0,58.0
Das Ich,1905,38.0,38.0
Dasco,2018,50.0,50.0
Dash Berlin,2014,36.2,36.2
Dash Berlin,2015,25.666666666666668,25.7
Dash Berlin,2018,48.0,48.0
Dastic,2019,1.0,1.0
Dateless,2017,45.0,45.0
Daughter,2016,40.0,40.0
Daughtry,1905,50.0,50.0
Daughtry,2019,60.0,60.0
Dav the Ninja,2019,39.5,39.5
Davai,2017,60.0,60.0
Davai,2019,52.0,52.0
Dave,2016,73.0,73.0
Dave,2018,72.0,72.0
Dave,2019,74.66666666666667,74.7
Dave Adamec,2017,35.0,35.0
Dave Darell,2009,0.0,0.0
Dave Garnier,2019,23.0,23.0
Dave Hollister,2006,22.0,22.0
Dave Hollister,2010,7.0,7.0
Dave Kerzner,2017,7.0,7.0
Dave Knud,2017,27.0,27.0
Dave Knud,2019,41.0,41.0
Dave Mak,2019,24.0,24.0
Dave Mason,1905,37.5,37.5
Dave Matthews Band,1996,66.0,66.0
Dave Nazza,2019,29.0,29.0
Dave Spoon,2011,4.0,4.0
Davi,2018,53.0,53.0
Davi,2019,36.333333333333336,36.3
David Archuleta,2008,70.0,70.0
David Banner,2003,27.5,27.5
David Banner,2017,30.0,30.0
David Bisbal,2002,7.0,7.0
David Bisbal,2016,66.0,66.0
David Bisbal,2018,71.0,71.0
David Bisbal,2019,63.0,63.0
David Bisbal,2020,66.0,66.0
David Blanco,2009,11.5,11.5
David Bowie,1905,70.0,70.0
David Bowie,1969,7.0,7.0
David Bowie,1971,66.0,66.0
David Bowie,1972,49.8,49.8
David Bowie,1973,64.0,64.0
David Bowie,1974,48.0,48.0
David Bowie,1977,24.0,24.0
David Bowie,1983,38.25,38.2
David Bowie,1997,34.0,34.0
David Bowie,2002,33.0,33.0
David Bowie,2013,31.0,31.0
David Bowie,2015,17.0,17.0
David Bowie,2016,41.0,41.0
David Brinston,2007,35.0,35.0
David Byrne,2008,49.0,49.0
David Chief,2017,1.0,1.0
David Fesser,2016,3.0,3.0
David Gates,1905,58.0,58.0
David Gray,1998,66.0,66.0
David Gray,2019,45.0,45.0
David Guetta,1905,0.0,0.0
David Guetta,2004,24.0,24.0
David Guetta,2007,22.25,22.2
David Guetta,2008,24.0,24.0
David Guetta,2009,17.2,17.2
David Guetta,2010,67.0,67.0
David Guetta,2011,43.5,43.5
David Guetta,2012,54.416666666666664,54.4
David Guetta,2013,66.0,66.0
David Guetta,2014,51.875,51.9
David Guetta,2015,64.0,64.0
David Guetta,2016,66.0,66.0
David Guetta,2017,68.5,68.5
David Guetta,2018,62.22222222222222,62.2
David Guetta,2019,61.0,61.0
David Guetta,2020,61.0,61.0
David Hopperman,2020,47.0,47.0
David Khalis,2019,34.0,34.0
David Lee Roth,1985,46.0,46.0
David Lee Roth,1988,55.0,55.0
David Lei Brandt,2019,18.0,18.0
David Puentez,2019,48.0,48.0
David Sanborn,2005,26.0,26.0
David Soul,1976,60.0,60.0
David Tort,2010,15.0,15.0
David Tort,2011,20.0,20.0
Davide Cristofori,2019,16.0,16.0
Davina,2015,24.0,24.0
Davina Leone,2019,13.0,13.0
Dawn Landes,2007,0.0,0.0
Dawson Hollow,2020,38.0,38.0
Daxten,2018,3.0,3.0
Day Felice,2019,39.0,39.0
Daya,2015,5.0,5.0
Daya,2016,70.0,70.0
Daya,2017,31.0,31.0
Daya,2018,61.0,61.0
Daya,2019,69.0,69.0
Daydream Nation,2019,14.0,14.0
Dayglow,2018,72.0,72.0
Dayseeker,2019,52.0,52.0
Dayvi,2018,83.0,83.0
Daz Dillinger,1905,39.0,39.0
Daz Dillinger,2006,42.0,42.0
Dbstf,2015,0.0,0.0
Dbstf,2016,27.0,27.0
De Frank Professionals,2010,42.0,42.0
De Hofnar,2017,32.0,32.0
De Jeugd Van Tegenwoordig,1905,41.0,41.0
De Jeugd Van Tegenwoordig,2008,36.0,36.0
De Jeugd Van Tegenwoordig,2013,0.0,0.0
De La Ghetto,2006,66.0,66.0
De La Ghetto,2013,45.0,45.0
De La Ghetto,2015,62.0,62.0
De La Ghetto,2019,62.5,62.5
De La Ghetto,2020,52.0,52.0
De La Soul,2010,30.0,30.0
De Vet Du,2014,1.0,1.0
De Vet Du,2015,1.0,1.0
DeBarge,1905,64.0,64.0
DeJ Loaf,2015,68.0,68.0
DeVante,2019,36.0,36.0
Dead Or Alive,1985,17.0,17.0
Dead Posey,2018,53.0,53.0
Dead Prez,2000,62.0,62.0
Deaf Rat,2019,33.0,33.0
Dean Lewis,2017,56.5,56.5
Dean Lewis,2018,83.0,83.0
Dean Lewis,2019,69.0,69.0
Deanna Brooke,2019,40.0,40.0
Dear Silas,2015,0.0,0.0
Deas,2018,33.0,33.0
Death Cab for Cutie,2005,40.5,40.5
Death Grips,2012,58.0,58.0
Death Remains,2019,25.0,25.0
DeathbyRomy,2019,71.0,71.0
Deathpact,2018,37.0,37.0
Deauxnuts,2019,50.333333333333336,50.3
Debbie Deb,1995,0.0,0.0
Debbie Deb,2013,46.0,46.0
Debi Nova,2019,63.0,63.0
Deborah Cox,2019,51.0,51.0
Deborah Dworshipper,2019,46.0,46.0
Deborah de Luca,2018,45.0,45.0
Debra Killings,2003,5.75,5.8
Debra Killings,2008,3.5,3.5
Deca,2013,44.0,44.0
Deca,2017,39.0,39.0
Declain,2018,31.0,31.0
Declain,2019,34.0,34.0
Declan McKenna,2017,59.0,59.0
DeeExpus,2012,6.0,6.0
DeeWunn,2013,52.0,52.0
DeejaVu,2019,20.5,20.5
Deekey,2019,34.0,34.0
Deem Spencer,2019,43.0,43.0
Deemz,2019,61.0,61.0
Deep Chills,2016,48.0,48.0
Deep Chills,2017,60.0,60.0
Deep Chills,2018,32.666666666666664,32.7
Deep Chills,2019,40.2,40.2
Deep Jandu,2019,53.666666666666664,53.7
Deep Purple,1905,17.666666666666668,17.7
Deep Purple,1968,62.0,62.0
Deep Purple,1972,66.5,66.5
Deep Purple,2001,28.0,28.0
Deep Purple,2005,50.0,50.0
Deep Purple,2011,0.0,0.0
Deep Purple,2017,40.0,40.0
Deeparture,2019,31.75,31.8
Deepend,2018,67.0,67.0
Deepmaniak,2015,24.0,24.0
Deerhunter,2010,56.0,56.0
Def Jef,2012,6.666666666666667,6.7
Def Leppard,1905,1.0,1.0
Def Leppard,1981,55.0,55.0
Def Leppard,1983,60.0,60.0
Def Leppard,1987,59.333333333333336,59.3
Def Leppard,1992,33.0,33.0
Def Leppard,1993,32.5,32.5
Def Leppard,2005,0.0,0.0
Def Leppard,2013,24.5,24.5
Dehd,2019,48.0,48.0
Deine Lakaien,1905,0.0,0.0
Deine Lakaien,2005,0.0,0.0
Deitrick Haddon,2008,21.666666666666668,21.7
Deitrick Haddon,2011,23.0,23.0
Delano,2019,64.0,64.0
Delany,2018,49.0,49.0
Delaossa,2020,44.0,44.0
Delayde,2018,56.0,56.0
Dele Sosimi Afrobeat Orchestra,2015,46.0,46.0
Delilah,2012,38.0,38.0
Delinquent Habits,1998,29.0,29.0
Delinquent Habits,2001,35.0,35.0
Delinquent Habits,2013,4.0,4.0
Delinquent Habits,2017,42.0,42.0
Delivio Reavon,2019,55.0,55.0
Della Humphrey,1967,24.0,24.0
Delta Rae,2015,44.0,44.0
Dem Franchize Boyz,1905,0.0,0.0
Dem Franchize Boyz,2006,60.0,60.0
Demarkus Lewis,2016,24.0,24.0
Demi Lovato,2008,36.333333333333336,36.3
Demi Lovato,2010,49.166666666666664,49.2
Demi Lovato,2011,66.0,66.0
Demi Lovato,2013,67.33333333333333,67.3
Demi Lovato,2015,48.333333333333336,48.3
Demi Lovato,2016,63.0,63.0
Demi Lovato,2017,28.0,28.0
Demon Hunter,2014,14.0,14.0
Demuja,2017,43.0,43.0
Demun Jones,2014,32.0,32.0
Demun Jones,2017,41.0,41.0
Demun Jones,2018,21.2,21.2
Denine,2008,0.0,0.0
Denis Horvat,2019,51.0,51.0
Denise Rosenthal,2019,55.0,55.0
Denisha,2007,9.0,9.0
Deniz Koyu,1905,39.0,39.0
Deniz Koyu,2014,0.0,0.0
Deniz Koyu,2019,42.75,42.8
Dennis Cruz,2017,34.0,34.0
Dennis DJ,2019,61.142857142857146,61.1
Dennis Ferrer,2015,8.0,8.0
Dennis Lloyd,2017,79.0,79.0
Dennis Lloyd,2019,72.0,72.0
Denzal Park,2013,0.0,0.0
Denzel Curry,2019,69.0,69.0
Denzil Porter,2015,33.0,33.0
Deonna Martin,2007,0.5,0.5
Deorro,2012,0.0,0.0
Deorro,2013,29.0,29.0
Deorro,2014,21.714285714285715,21.7
Deorro,2015,40.2,40.2
Deorro,2016,57.0,57.0
Deorro,2017,51.5,51.5
Deorro,2018,41.0,41.0
Deorro,2019,16.4,16.4
Deorro,2020,50.0,50.0
Depdramez,2018,30.0,30.0
Depeche Mode,1905,24.833333333333332,24.8
Depeche Mode,1981,57.333333333333336,57.3
Depeche Mode,1982,30.0,30.0
Depeche Mode,1983,24.0,24.0
Depeche Mode,1984,48.0,48.0
Depeche Mode,1986,43.5,43.5
Depeche Mode,1987,10.0,10.0
Depeche Mode,1990,51.666666666666664,51.7
Depeche Mode,1997,58.0,58.0
Depeche Mode,1998,61.5,61.5
Depeche Mode,2001,0.0,0.0
Depeche Mode,2004,44.0,44.0
Depeche Mode,2005,57.0,57.0
Depeche Mode,2006,56.0,56.0
Depeche Mode,2011,34.0,34.0
Depeche Mode,2013,41.0,41.0
Depeche Mode,2014,38.0,38.0
Deraj,2017,18.0,18.0
Derek,2019,55.333333333333336,55.3
Derek Minor,2017,21.0,21.0
Derek Wise,2016,26.0,26.0
Derian,2019,45.0,45.0
Derin Falana,2015,27.5,27.5
Dermot Kennedy,2018,71.0,71.0
Dermot Kennedy,2019,73.0,73.0
Derrick Ryan,2019,30.0,30.0
Des Rocs,2019,41.0,41.0
Desaparecidos,2019,44.0,44.0
Descemer Bueno,2012,36.0,36.0
Descemer Bueno,2014,19.0,19.0
Desert Minds,2019,22.0,22.0
Desiigner,2016,73.0,73.0
Desiigner,2017,37.0,37.0
Despistaos,2019,55.0,55.0
Despotem,2019,41.0,41.0
Despotem,2020,26.0,26.0
Destiny Rogers,2019,54.0,54.0
Destroyer,2011,49.0,49.0
Destructo,2019,57.0,57.0
Detonautas Roque Clube,2020,36.0,36.0
Detroit Swindle,2013,48.0,48.0
Detroit Swindle,2014,45.0,45.0
Detroit Swindle,2018,52.0,52.0
Deva Mahal,2019,39.0,39.0
Devan,2020,39.0,39.0
Devault,2018,52.0,52.0
Devendra Banhart,2009,55.0,55.0
DevilDriver,2013,50.0,50.0
Devin Farney,2018,23.0,23.0
Devin Morrison,2019,34.0,34.0
Devin The Dude,2013,25.5,25.5
Devon Gilfillian,2020,49.0,49.0
Dewey da Don,2019,27.0,27.0
Dewo,2019,38.0,38.0
Dexter,2020,49.0,49.0
Dez Money,2019,34.0,34.0
Dfideliz,2018,58.0,58.0
Dfideliz,2019,56.75,56.8
DiRTY RADiO,2019,34.0,34.0
Diamond D,2007,10.0,10.0
Diamond la Mafia,2019,44.0,44.0
Diamond la Mafia,2020,24.0,24.0
Diana Fuentes,2019,49.0,49.0
Diana Ross,1980,65.5,65.5
Diane Birch,2011,0.0,0.0
Diddy,1905,57.0,57.0
Diddy,1999,52.0,52.0
Diddy,2004,64.66666666666667,64.7
Diddy,2005,64.0,64.0
Dido,1905,68.0,68.0
Didrik Thulin,2013,54.0,54.0
Die Atzen,2019,61.0,61.0
Diego El Cigala,2016,34.5,34.5
Diego Miranda,2019,44.0,44.0
Diego Thug,2019,35.0,35.0
Diego Torres,2008,47.0,47.0
Dieter Spitz,2018,43.0,43.0
Digable Planets,1993,58.0,58.0
Digital Chorus,2019,31.0,31.0
Digital Emotion,2008,42.0,42.0
Digital Farm Animals,2016,60.0,60.0
Digital Farm Animals,2018,48.0,48.0
Digital Farm Animals,2019,36.0,36.0
Digital Underground,1990,52.0,52.0
Digital Underground,2003,0.0,0.0
Digital Underground,2005,48.0,48.0
Digitalism,2014,41.0,41.0
Dijon,2017,48.0,48.0
Dijon,2018,62.0,62.0
Dijon,2019,39.0,39.0
Dilated Peoples,2001,55.0,55.0
Diljit Dosanjh,2018,44.0,44.0
Dillistone,2019,37.0,37.0
Dillom,2018,63.0,63.0
Dillom,2019,59.5,59.5
Dillon Francis,2014,28.25,28.2
Dillon Francis,2015,36.0,36.0
Dillon Francis,2016,50.5,50.5
Dillon Nathaniel,2017,33.0,33.0
Dillon Reed,2018,46.0,46.0
Dilpreet Dhillon,2020,47.0,47.0
Dilsinho,2019,71.66666666666667,71.7
Dimatik,2019,19.0,19.0
Dimelo Flow,2018,64.0,64.0
Dimelo Flow,2019,82.66666666666667,82.7
Dimie Cat,1905,41.0,41.0
Dimmi,2014,55.0,55.0
Dino,1989,28.0,28.0
Dino James,2019,61.0,61.0
Dio,1905,62.5,62.5
Dio,2007,1.0,1.0
Dio,2008,47.0,47.0
Dion Timmer,2018,37.0,37.0
Dionne Farris,1997,32.0,32.0
Dionne Warwick,1989,57.0,57.0
Dionne Warwick,2005,4.0,4.0
Diplo,2013,29.5,29.5
Diplo,2015,43.666666666666664,43.7
Diplo,2019,81.0,81.0
Diplomacy,2019,39.0,39.0
Dire Straits,1978,65.0,65.0
Dire Straits,1980,48.5,48.5
Dire Straits,1985,53.666666666666664,53.7
Dire Straits,1998,5.0,5.0
Dirty Chime,2019,35.0,35.0
Dirty Heads,2016,54.0,54.0
Dirty Honey,2019,8.0,8.0
Dirty Honkers,1905,44.0,44.0
Dirty Honkers,2016,38.0,38.0
Dirty Honkers,2019,44.0,44.0
Dirty Palm,2019,50.0,50.0
Dirty Rush,2015,18.0,18.0
Dirty Shirley,2019,37.0,37.0
Dirty South,2013,48.0,48.0
Dirty South,2015,46.0,46.0
Dirty South,2019,45.0,45.0
Disciples,2016,42.0,42.0
Disclosure,2013,19.0,19.0
Disclosure,2014,53.0,53.0
Disclosure,2015,14.5,14.5
Disco Fries,2015,35.0,35.0
Disco Fries,2016,43.0,43.0
Disco Fries,2018,13.0,13.0
Disco Fries,2019,37.5,37.5
Disco Killerz,2016,28.0,28.0
Discopolis,2013,6.0,6.0
Discovery,2009,45.0,45.0
Disiz La Peste,2015,0.0,0.0
Diskay,2019,51.0,51.0
Diskord,2019,22.0,22.0
Disturbed,2000,74.0,74.0
Disturbed,2005,67.5,67.5
Disturbed,2008,70.0,70.0
Disturbed,2010,61.0,61.0
Disturbed,2011,32.0,32.0
Disturbed,2015,57.666666666666664,57.7
Disturbed,2018,57.0,57.0
Disturbing Tha Peace,2001,57.0,57.0
Div Eadie,2019,10.0,10.0
Divine Council,2016,40.0,40.0
Diviners,2015,55.5,55.5
Divino,2010,35.0,35.0
Divite,2019,42.0,42.0
Dizzy Wright,2012,28.0,28.0
Dizzy Wright,2017,37.0,37.0
Dj Dasten,2019,35.0,35.0
Dj Electrocimatic,2019,18.333333333333332,18.3
Dj Farrapo,2017,37.0,37.0
Dj Gabriel do Borel,2019,45.0,45.0
Dj Geducht,2017,29.0,29.0
Dj Guuga,2019,78.0,78.0
Dj Iceman,2019,29.0,29.0
Dj Rogerinho do Quero,2019,39.0,39.0
Djumpers,2019,15.0,15.0
Djumpers,2020,7.0,7.0
Do Or Die,1905,51.0,51.0
Do Or Die,2013,54.0,54.0
Doble Porcion,2016,45.5,45.5
Doc Thor,2019,32.0,32.0
Doctor Pheabes,2019,41.666666666666664,41.7
Dog Blood,2019,1.0,1.0
Doja Cat,2018,85.0,85.0
Doja Cat,2019,76.66666666666667,76.7
Doje,2019,42.0,42.0
Dojo Cuts,2012,48.0,48.0
Dokken,1905,55.0,55.0
Dokken,1984,57.0,57.0
Dokken,2010,50.0,50.0
Dolapdere Big Gang,2010,16.0,16.0
Dolla,2019,51.0,51.0
Dolly Parton,1974,74.0,74.0
Dolo Tonight,2019,40.333333333333336,40.3
Dom Dolla,2019,45.0,45.0
Dom Kennedy,2011,23.0,23.0
Dom Kennedy,2016,44.0,44.0
Domastic,2019,26.0,26.0
Dombresky,2019,55.0,55.0
Dominic Candela,2016,3.0,3.0
Dominic Fike,2018,73.5,73.5
Dominic Fike,2019,75.0,75.0
Dominix,2019,33.0,33.0
Dominix,2020,38.0,38.0
Domo Genesis,2016,59.0,59.0
Don Diablo,2013,0.0,0.0
Don Diablo,2014,0.0,0.0
Don Diablo,2017,45.5,45.5
Don Diablo,2018,24.5,24.5
Don Diablo,2019,62.375,62.4
Don Diablo,2020,51.0,51.0
Don Henley,1984,76.0,76.0
Don Kalavera,2019,33.0,33.0
Don McLean,1905,73.0,73.0
Don Mills,2020,44.0,44.0
Don Omar,2003,64.66666666666667,64.7
Don Omar,2004,4.0,4.0
Don Omar,2006,41.333333333333336,41.3
Don Omar,2008,58.5,58.5
Don Omar,2009,50.0,50.0
Don Omar,2010,54.888888888888886,54.9
Don Omar,2012,45.166666666666664,45.2
Don Omar,2014,0.0,0.0
Don Omar,2015,46.666666666666664,46.7
Don Omar,2016,50.0,50.0
Don Omar,2017,49.0,49.0
Don Omar,2019,61.333333333333336,61.3
Don Patricio,2019,79.0,79.0
Don Philippe,2019,50.0,50.0
Don Toliver,2019,87.5,87.5
Donatello,2018,27.0,27.0
Donell Jones,1905,47.0,47.0
Donell Jones,1996,46.0,46.0
Donell Jones,1999,56.0,56.0
Donell Jones,2002,41.0,41.0
Donell Jones,2007,33.75,33.8
Donna Summer,1905,5.0,5.0
Donny Caballero,2014,44.0,44.0
Donny Caballero,2016,34.0,34.0
Donny Caballero,2017,44.0,44.0
Donny Duardo,2018,42.0,42.0
Donny Hathaway,1990,75.0,75.0
Donny Hathaway,2005,50.0,50.0
Dontcry,2018,51.0,51.0
Dontcry,2019,47.666666666666664,47.7
Donwill,2019,20.0,20.0
Dope,2001,66.0,66.0
DopeNation,2019,39.0,39.0
Dopeamean,2019,28.0,28.0
Dopebwoy,2016,41.0,41.0
Dopebwoy,2019,57.0,57.0
Doris,2015,36.0,36.0
Doris Lavin,2020,19.0,19.0
Dorothy,2016,43.625,43.6
Dorothy,2017,54.0,54.0
Dorothy Moore,1976,51.0,51.0
Dorrough Music,2009,56.0,56.0
Dosem,2015,32.0,32.0
Dosk,2019,39.0,39.0
Dotan,2015,0.0,0.0
Double You,1994,53.0,53.0
Dove Cameron,2014,51.0,51.0
Dove Cameron,2015,59.5,59.5
Dove Cameron,2019,63.0,63.0
Doves,2009,48.0,48.0
Down Below,2009,0.0,0.0
Down With Webster,2013,18.0,18.0
Downlowd,2019,33.0,33.0
Downplay,2012,31.0,31.0
Dozer,2019,42.0,42.0
Dr Phunk,2019,45.0,45.0
Dr Zeus,2018,51.0,51.0
Dragon,2006,13.0,13.0
Drake,2009,67.0,67.0
Drake,2010,67.5,67.5
Drake,2011,71.75,71.8
Drake,2013,15.0,15.0
Drake,2015,31.0,31.0
Drake,2016,57.285714285714285,57.3
Drake,2017,55.333333333333336,55.3
Drake,2018,49.57142857142857,49.6
Drake,2019,68.5,68.5
Drakeo the Ruler,2017,56.0,56.0
Drama Relax,2019,55.0,55.0
Drax Project,2019,44.0,44.0
Dread Pitt,2019,37.0,37.0
Dream Easy Collective,2018,40.0,40.0
Dream Shizuka,2019,26.0,26.0
Dream State,2019,46.0,46.0
Dream Theater,1999,52.0,52.0
Dreamville,2019,42.5,42.5
Dreezy,2017,57.0,57.0
DrefQuila,2017,61.0,61.0
DrefQuila,2018,54.333333333333336,54.3
DrefQuila,2019,61.0,61.0
Dreicon,2019,43.0,43.0
Drenchill,2018,67.0,67.0
Drenchill,2019,54.0,54.0
Dresses,2015,33.0,33.0
Drevm,2019,52.0,52.0
Drew Ryan Scott,2012,21.0,21.0
Drew Wilken,2019,40.0,40.0
Dreweybear,2018,1.0,1.0
Dreweybear,2019,36.5,36.5
Drist,2019,37.0,37.0
Drizabone,1994,42.0,42.0
Dropgun,2018,60.0,60.0
Dropgun,2019,45.0,45.0
Dropkick Murphys,2005,70.0,70.0
Dropout,2016,30.0,30.0
Drowning Pool,2001,62.5,62.5
Dru Down,1994,48.0,48.0
Dru Down,1996,41.0,41.0
Dru Hill,1996,38.0,38.0
Dru Hill,1998,40.75,40.8
Dru Hill,2005,28.0,28.0
Dru Hill,2006,19.0,19.0
Drunken Kong,2017,3.0,3.0
Drvmmer,2019,35.0,35.0
Dry,2020,14.0,14.0
DuRu Tha King,2015,25.0,25.0
Dua Lipa,2016,70.0,70.0
Dua Lipa,2017,63.375,63.4
Dua Lipa,2018,50.0,50.0
Dua Lipa,2019,77.25,77.2
Dualities,2019,54.0,54.0
Dualmind,2017,0.0,0.0
Duas Doses,2019,32.0,32.0
DubVision,2014,0.0,0.0
DubVision,2015,0.0,0.0
DubVision,2016,17.0,17.0
DubVision,2019,52.714285714285715,52.7
Dubdogz,2016,60.0,60.0
Dubdogz,2018,52.5,52.5
Dubdogz,2019,58.0,58.0
Dubfire,2016,49.0,49.0
Dubio,2019,47.0,47.0
Duchess,2019,33.666666666666664,33.7
Duck House,2015,18.0,18.0
Duckmaw,2019,45.0,45.0
Ducko McFli,2019,45.0,45.0
Duckwrth,2016,59.0,59.0
Duckwrth,2019,60.0,60.0
Dudu,2019,49.0,49.0
Duffy,1905,19.333333333333332,19.3
Duke Dumont,1905,20.0,20.0
Duke Dumont,2014,15.0,15.0
Duke Dumont,2015,9.0,9.0
Duke Dumont,2019,68.0,68.0
Duke Dumont,2020,54.0,54.0
Duki,2017,1.0,1.0
Duki,2018,15.5,15.5
Duki,2019,45.45454545454545,45.5
Duki Y Neo Pistea,2017,0.0,0.0
Dukus,2018,30.0,30.0
Dukus,2019,30.0,30.0
Duncan Sheik,1905,58.0,58.0
Dune,1995,57.0,57.0
Dune,2012,0.0,0.0
Dune Rain,2018,38.0,38.0
Duran Duran,1982,48.5,48.5
Duran Duran,1993,69.0,69.0
Duran Duran,1998,54.0,54.0
Duran Duran,2015,40.0,40.0
Duskus,2019,33.0,33.0
Dusky,2013,49.0,49.0
Dusky,2014,0.0,0.0
Dusky Grey,2017,43.0,43.0
Dust Collectors,2018,47.0,47.0
Dust of Apollon,2020,29.0,29.0
Dusty Buddha Child,2014,5.0,5.0
Dusty Springfield,1969,71.0,71.0
Dutch Revz,2019,45.0,45.0
Dutty Moonshine,2012,37.0,37.0
Dvicio,2019,73.0,73.0
Dweeb,2018,8.5,8.5
Dwele,2003,36.666666666666664,36.7
Dwele,2005,38.0,38.0
Dwele,2008,33.5,33.5
Dwin,2017,55.0,55.0
Dwin,2018,53.333333333333336,53.3
Dyablo,1905,30.5,30.5
Dye O,2018,8.5,8.5
Dye O,2019,45.5,45.5
Dylan Brady,2015,42.0,42.0
Dylan Dunlap,2019,67.0,67.0
Dylan Sitts,2019,54.5,54.5
Dylan Wild,2020,36.0,36.0
Dyne Side,2017,30.0,30.0
Dyne Side,2018,38.0,38.0
Dynoro,2017,50.0,50.0
Dynoro,2018,75.0,75.0
Dynoro,2019,66.0,66.0
Dyro,2014,9.0,9.0
Dyro,2015,14.0,14.0
Dyro,2018,34.5,34.5
Dyro,2019,40.75,40.8
Dzeko,2019,68.0,68.0
E Z R A,2019,25.0,25.0
EADWINE,2019,18.0,18.0
EARTHGANG,2014,32.0,32.0
EAUXMAR,2019,43.0,43.0
EBEN,2018,37.0,37.0
EBEN,2019,25.5,25.5
EC Twins,2019,48.0,48.0
EDEN,2015,42.0,42.0
EDEN,2016,38.5,38.5
EDEN,2020,63.0,63.0
EDEN KAI,2020,48.0,48.0
EDX,2012,28.5,28.5
EDX,2019,57.0,57.0
EKO,2017,24.0,24.0
ELEVATION RHYTHM,2019,43.0,43.0
ELHAE,2019,40.0,40.0
ELYAZ,2016,9.0,9.0
ELYAZ,2018,30.0,30.0
EMADUS,2019,40.0,40.0
EMBRZ,2018,36.0,36.0
EMMA WAHLIN,2019,45.0,45.0
EMMA WAHLIN,2020,17.0,17.0
ENCR,2019,28.0,28.0
EREN CAN,2019,67.0,67.0
ERIMAJ,2012,0.0,0.0
ESCHES,2019,35.0,35.0
EVERGLOW,2019,73.0,73.0
EXES,2017,56.0,56.0
EXES,2019,39.0,39.0
EXID,2014,49.0,49.0
EXID,2017,60.0,60.0
EXID,2019,61.0,61.0
EXILE SHOKICHI,2019,29.0,29.0
EZA,1905,40.0,40.0
EZA,2017,2.0,2.0
EZI,2018,50.0,50.0
EZI,2019,51.0,51.0
Eagles,1905,54.25,54.2
Eagles,1976,72.66666666666667,72.7
Eagles,2003,43.0,43.0
Earl Sweatshirt,2013,67.0,67.0
Eartha Kitt,2012,58.0,58.0
East Harbor,2019,18.0,18.0
East Love,2019,46.0,46.0
Eastblock Bitches,2019,40.0,40.0
Eat More Cake,2019,49.0,49.0
Ebhoni,2017,0.0,0.0
Ebo Taylor,1905,42.0,42.0
Ebo Taylor,2010,54.0,54.0
Echosmith,2013,70.0,70.0
Echosmith,2015,52.0,52.0
Echosmith,2020,56.0,56.0
Ecko,2018,0.5,0.5
Ecko,2019,54.0,54.0
Eclectic Sound,2020,6.0,6.0
Eclipse,2019,40.0,40.0
Ecologyk,2019,42.0,42.0
Ed Marquis,2017,64.0,64.0
Ed Maverick,2018,78.0,78.0
Ed Sheeran,2011,50.0,50.0
Ed Sheeran,2014,59.75,59.8
Ed Sheeran,2015,53.0,53.0
Ed Sheeran,2017,69.14285714285714,69.1
Ed Sheeran,2018,53.0,53.0
Ed Sheeran,2019,69.28571428571429,69.3
Ed Stockley,2019,42.0,42.0
Ed Whicher,2019,38.0,38.0
Eddie Dee,1905,55.666666666666664,55.7
Eddie Kendricks,2002,22.0,22.0
Eddie Khae,2020,16.0,16.0
Eddie M,2017,0.0,0.0
Eddie Money,1905,56.333333333333336,56.3
Eddie Money,1986,67.0,67.0
Eddie Murphy,1985,58.0,58.0
Eddie Santiago,2006,7.0,7.0
Eddie Thoneick,2019,35.0,35.0
